province,province_key,panel_firm_count,panel_firm_year_count,start_year,end_year
北京市,beijing,452,2385,2020,2025
天津市,tianjin,70,372,2020,2025
河北省,hebei,73,385,2020,2025
山西省,shanxi,44,244,2020,2025
内蒙古自治区,inner_mongolia,30,147,2020,2025
辽宁省,liaoning,86,457,2020,2025
吉林省,jilin,48,246,2020,2025
黑龙江省,heilongjiang,40,212,2020,2025
上海市,shanghai,437,2250,2020,2025
江苏省,jiangsu,601,3052,2020,2025
浙江省,zhejiang,692,3588,2020,2025
安徽省,anhui,172,888,2020,2025
福建省,fujian,171,903,2020,2025
江西省,jiangxi,84,433,2020,2025
山东省,shandong,268,1433,2020,2025
河南省,henan,89,469,2020,2025
湖北省,hubei,136,682,2020,2025
湖南省,hunan,134,726,2020,2025
广东省,guangdong,846,4312,2020,2025
广西壮族自治区,guangxi,36,194,2020,2025
海南省,hainan,33,168,2020,2025
重庆市,chongqing,71,378,2020,2025
四川省,sichuan,164,858,2020,2025
贵州省,guizhou,34,189,2020,2025
云南省,yunnan,38,210,2020,2025
西藏自治区,tibet,21,118,2020,2025
陕西省,shaanxi,76,390,2020,2025
甘肃省,gansu,35,198,2020,2025
青海省,qinghai,11,61,2020,2025
宁夏回族自治区,ningxia,16,89,2020,2025
新疆维吾尔自治区,xinjiang,68,358,2020,2025
