policy_id,province,province_key,report_year,title,issuer,publish_date,source_url,alternate_url,source_domain,source_type,retrieved_at_utc,http_status,final_url,content_type,raw_relpath,content_sha256,raw_bytes,retrieval_status,review_status,notes,source_tier,source_tier_label,source_tier_reason,source_tier_verified,retrieval_history_note
anhui_2019,安徽省,anhui,2019,2019年安徽省政府工作报告,安徽省政府或转载机构,,https://m.cnpharm.com/201902/19/c270815.html,,m.cnpharm.com,government_work_report,2026-09-26T12:30:18.527943+00:00,200,https://m.cnpharm.com/201902/19/c270815.html,text/html; charset=utf-8,data/raw/policy_reports/html/anhui_2019.html,535181cfe900bc369f387482fa53bbda39faad5f313d106ad718b0af638148e3,76141,success,downloaded,,4,other_complete_reprint,可核对为同年度完整报告转载，但当前页面不属于政府机关或正式官方媒体一级来源。,1,
anhui_2020,安徽省,anhui,2020,2020年安徽省政府工作报告,,,https://www.planning.org.cn/law/uploads/2020/03/4971_1583147428.pdf,,www.planning.org.cn,government_work_report,2026-09-26T13:01:11.858551+00:00,200,https://www.planning.org.cn/law/uploads/2020/03/4971_1583147428.pdf,application/pdf,data/raw/policy_reports/html/anhui_2020.html,3516fc38e671134d4557cf497410e51c06244449bc63f5777dc6a50996b38405,374265,success,downloaded,,4,other_complete_reprint,可核对为同年度完整报告转载，但当前页面不属于政府机关或正式官方媒体一级来源。,1,fetch_error=SSLError
anhui_2021,安徽省,anhui,2021,2021年安徽省政府工作报告,,,https://www.ahjzu.edu.cn/territorial/2021/0203/c9852a159064/page.htm,,www.ahjzu.edu.cn,government_work_report,2026-09-26T12:57:16.735390+00:00,200,https://www.ahjzu.edu.cn/territorial/2021/0203/c9852a159064/page.htm,text/html,data/raw/policy_reports/html/anhui_2021.html,bebade8e65352e45c73abfc5dc579b1df9bc3eab48d76653e4f3681ae3ce2bb9,93921,success,downloaded,,2,other_government_official,经核对为正式公共教育机构发布的完整报告转载。,1,fetch_error=SSLError
anhui_2022,安徽省,anhui,2022,2022年安徽省政府工作报告（全文）,安徽省政府或转载机构,,https://www.planning.org.cn/law/uploads/2022/03/4971_1646211832.pdf,,www.planning.org.cn,government_work_report,2026-09-26T12:30:20.316167+00:00,200,https://www.planning.org.cn/law/uploads/2022/03/4971_1646211832.pdf,application/pdf,data/raw/policy_reports/html/anhui_2022.pdf,5d12e90b5658c015f096a2cf9cb684ffe47f4051365f77e568bf5934fe591336,352892,success,downloaded,,4,other_complete_reprint,可核对为同年度完整报告转载，但当前页面不属于政府机关或正式官方媒体一级来源。,1,
anhui_2023,安徽省,anhui,2023,2023年安徽省政府工作报告,安徽日报报业集团,2023-01-19,https://www.ahnews.com.cn/yaowen1/pc/con/2023-01/19/496_752236.html,,www.ahnews.com.cn,government_work_report,2026-09-26T13:22:24.069099+00:00,200,https://www.ahnews.com.cn/yaowen1/pc/con/2023-01/19/496_752236.html,text/html; charset=UTF-8,data/raw/policy_reports/html/anhui_2023.html,3d6faeee4d4e6653929ebf6ef001dac992e88bc56a12eacf4acae3d044b63640,86297,success,downloaded,,3,official_or_state_media_reprint,经来源页面核对为党媒、国家/省级官方媒体或官方公共媒体完整转载。,1,fetch_error=SSLError;previous official host SSL hostname mismatch
anhui_2024,安徽省,anhui,2024,2024年安徽省政府工作报告,安徽日报报业集团,2024-01-29,https://www.ahnews.com.cn/yaowen1/pc/con/2024-01/29/496_1044479.html,,www.ahnews.com.cn,government_work_report,2026-09-26T13:22:24.282729+00:00,200,https://www.ahnews.com.cn/yaowen1/pc/con/2024-01/29/496_1044479.html,text/html; charset=UTF-8,data/raw/policy_reports/html/anhui_2024.html,f7f9e8b5128b8ee76335ea276164241f7ddda111d54fa00d012f4e5b46ec128d,85975,success,downloaded,,3,official_or_state_media_reprint,经来源页面核对为党媒、国家/省级官方媒体或官方公共媒体完整转载。,1,fetch_error=SSLError;previous official host SSL hostname mismatch
anhui_2025,安徽省,anhui,2025,2025年安徽省政府工作报告,新浪财经（转载自合肥发布）,2025-01-26,https://finance.sina.com.cn/jjxw/2025-01-26/doc-inehhksh0100962.shtml,,finance.sina.com.cn,government_work_report,2026-09-26T13:22:25.473481+00:00,200,https://finance.sina.com.cn/jjxw/2025-01-26/doc-inehhksh0100962.shtml,text/html,data/raw/policy_reports/html/anhui_2025.html,137ab5e24e8b55b6961288b4bdc8f5a64d12a7b76a452cfa6e4340b496b33dd6,160971,success,downloaded,,4,other_complete_reprint,可核对为同年度完整报告转载，但当前页面不属于政府机关或正式官方媒体一级来源。,1,fetch_error=SSLError;previous official host SSL hostname mismatch
beijing_2019,北京市,beijing,2019,2019年北京市政府工作报告,北京市人民政府,2019-03-21,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/201903/t20190321_1838386.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:50.422414+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/201903/t20190321_1838386.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2019.html,77ace0b39785644329353f7f9c12ac9ad69735daf74f3a3ca743a9447e73f3a8,90082,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2020,北京市,beijing,2020,2020年北京市政府工作报告,北京市人民政府,2020-01-19,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202001/t20200119_1838388.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:51.576524+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202001/t20200119_1838388.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2020.html,c983d8b2f2e3aad7ab2df2387685458aa2449061eec0931cf3e99e47ba7f1d8a,99187,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2021,北京市,beijing,2021,2021年北京市政府工作报告,北京市人民政府,2021-02-01,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202102/t20210201_2249908.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:52.710500+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202102/t20210201_2249908.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2021.html,434ec9891711b827eed59237a11397c6397e3766cb8c604b1bd52fc1363912f7,72856,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2022,北京市,beijing,2022,2022年北京市政府工作报告,北京市人民政府,2022-01-13,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202201/t20220113_2589854.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:53.856399+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202201/t20220113_2589854.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2022.html,4e924cee03f2ff1d50a5d84b190c952d891d766090f07a1accfa90afe57f0ce2,66629,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2023,北京市,beijing,2023,2023年北京市政府工作报告,北京市人民政府,2023-01-28,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202301/t20230128_2907344.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:55.000501+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202301/t20230128_2907344.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2023.html,1d7c8dde718ef1f58ba74529d13c10e01f97c9a9a6bbecf52641f04969d83c64,76060,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2024,北京市,beijing,2024,2024年北京市政府工作报告,北京市人民政府,2024-01-29,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202401/t20240129_3547363.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:56.129458+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202401/t20240129_3547363.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2024.html,2a5b7585b55991d7dd260f6de58a3d4807d951c7bb539fa98d25e1d925a2859d,81229,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
beijing_2025,北京市,beijing,2025,2025年北京市政府工作报告,北京市人民政府,2025-01-21,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202501/t20250121_3994245.html,,beijing.gov.cn,government_work_report,2026-09-18T11:36:57.259959+00:00,200,https://www.beijing.gov.cn/gongkai/jihua/zfgzbg/202501/t20250121_3994245.html,text/html; charset=utf-8,data/raw/policy_reports/html/beijing_2025.html,c4ee928a1448f31cc772a32be3e85332000dc3af0b7603eff5293f6dd9250f8b,85000,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,fetch_error=PermissionError
chongqing_2019,重庆市,chongqing,2019,重庆市人民政府工作报告（2019年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/201902/t20190201_8804777.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:15.418528+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/201902/t20190201_8804777.html,text/html,data/raw/policy_reports/html/chongqing_2019.html,8eb74aa94e9c512a0d3ab48649d0d3cb100c117f14640b2606d6784d70059e12,148620,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2020,重庆市,chongqing,2020,重庆市人民政府工作报告（2020年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202001/t20200119_8804778.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:16.837424+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202001/t20200119_8804778.html,text/html,data/raw/policy_reports/html/chongqing_2020.html,32886e657f1288794a6cd36b5f7539a237daf5c73fd2ba7451f6e99300379995,148950,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2021,重庆市,chongqing,2021,重庆市人民政府工作报告（2021年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202101/t20210128_8857504.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:18.438260+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202101/t20210128_8857504.html,text/html,data/raw/policy_reports/html/chongqing_2021.html,98fe0ed0e09b48cd6ddde7ac884a7c016bfb74b6154e6eed23f23f96a25621ed,172225,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2022,重庆市,chongqing,2022,重庆市人民政府工作报告（2022年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202201/t20220124_10330662.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:19.897824+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202201/t20220124_10330662.html,text/html,data/raw/policy_reports/html/chongqing_2022.html,0793ddc3a0d3a72657a55f6a9579a37151c0fe3ceade7364975da66293f266f3,165404,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2023,重庆市,chongqing,2023,重庆市人民政府工作报告（2023年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202301/t20230120_11529181.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:21.167926+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202301/t20230120_11529181.html,text/html,data/raw/policy_reports/html/chongqing_2023.html,f1a0bba80fb38fd8007061248922c6ac89df99c9b3a93c624186dd7eb65e7f3e,182331,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2024,重庆市,chongqing,2024,重庆市人民政府工作报告（2024年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202401/t20240129_12872692.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:22.437314+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202401/t20240129_12872692.html,text/html,data/raw/policy_reports/html/chongqing_2024.html,980752082e39f870ff176d3f106f9f085291c015879235b128ab50426be05836,159399,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
chongqing_2025,重庆市,chongqing,2025,重庆市人民政府工作报告（2025年）,重庆市人民政府,,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202505/t20250528_14664531.html,,www.cq.gov.cn,government_work_report,2026-09-26T12:21:23.927651+00:00,200,https://www.cq.gov.cn/zwgk/zfxxgkml/zfgzbg/202505/t20250528_14664531.html,text/html,data/raw/policy_reports/html/chongqing_2025.html,eac3f5c225d758e3674a13a9b5a0d925560233889376c5a309b2eb40696e27cf,167544,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2019,福建省,fujian,2019,2019年福建省政府工作报告,,,https://www.fujian.gov.cn/szf/gzbg/zfgzbg/201901/t20190121_4748474.htm,,www.fujian.gov.cn,government_work_report,2026-09-26T12:54:10.136195+00:00,200,https://www.fujian.gov.cn/szf/gzbg/zfgzbg/201901/t20190121_4748474.htm,text/html,data/raw/policy_reports/html/fujian_2019.html,f046e73b45a06b7d8a1ffe8d8931324f89982ea279f3c6f67b237b127563b97b,353446,success,downloaded,官方归档页面未提供该年份报告链接。,2,other_government_official,政府部门、下级政府、政府管理机构或正式公共机构完整转载同一报告。,1,
fujian_2020,福建省,fujian,2020,2020年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202001/t20200121_5184943.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:33.444611+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202001/t20200121_5184943.htm,text/html,data/raw/policy_reports/html/fujian_2020.html,4469f570403706777270054cd5f2e4b71f86b8072c6cd1ddbe45fda27ecbd7cf,354211,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2021,福建省,fujian,2021,2021年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202102/t20210201_5529296.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:34.628033+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202102/t20210201_5529296.htm,text/html,data/raw/policy_reports/html/fujian_2021.html,c8ca6453bb37bcda463c3cf6e0e7f11612406be334ff6f2764f95cd18fc131ac,361477,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2022,福建省,fujian,2022,2022年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202201/t20220129_5828598.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:35.838793+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202201/t20220129_5828598.htm,text/html,data/raw/policy_reports/html/fujian_2022.html,e32972d0558229af9b5076a72e5fb5d41cc6f93a5a0a0ec0524cb8e032c27185,363351,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2023,福建省,fujian,2023,2023年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202301/t20230120_6097625.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:37.039301+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202301/t20230120_6097625.htm,text/html,data/raw/policy_reports/html/fujian_2023.html,9ec3a6bcb70ba799466d11eff5301b2101a4e77538474d04bf4d1e7bade41e1b,388566,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2024,福建省,fujian,2024,2024年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202402/t20240204_6391648.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:38.259806+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202402/t20240204_6391648.htm,text/html,data/raw/policy_reports/html/fujian_2024.html,ead2fcf5f962622a50467db4227713bda12d4579dc7fa5d11dd24a808a95c850,381955,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
fujian_2025,福建省,fujian,2025,2025年福建省人民政府工作报告,福建省人民政府,,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202501/t20250123_6706794.htm,,www.fj.gov.cn,government_work_report,2026-09-26T12:23:39.508508+00:00,200,https://www.fj.gov.cn/szf/gzbg/zfgzbg/202501/t20250123_6706794.htm,text/html,data/raw/policy_reports/html/fujian_2025.html,dcf337cb7312e3aa3b093f4721c1c13ccdbf1c381f39c525b266f22e9866fa61,388174,success,downloaded,,1,direct_provincial_official,省级人民政府、人大或正式政府公报直接发布完整报告正文或附件。,1,
